Scenario_id,Object_type,Object_speed_kmph,time_to_collision_sec,braking_triggered,collision_avoided
1,Pedestrian,5.891375385517481,5.76,0,0
2,Car,18.67432567104916,2.19,1,1
3,Car,23.417628259198903,4.77,0,0
4,Car,16.701244538194345,4.35,0,0
5,Bike,21.246653066481873,3.34,1,1
6,Pedestrian,7.997781067472774,5.53,0,0
7,Bike,3.540685977315341,6.81,0,0
8,Truck,13.753197475609822,4.33,0,0
9,Truck,8.678379586977067,7.69,0,0
10,Car,94.38141431682041,6.66,0,0
11,Bike,2.4396950876740977,3.39,1,1
12,Pedestrian,5.515471461479171,1.93,1,0
13,Motorcycle,26.742470298507463,2.36,1,1
14,Car,5.515305275343746,7.7,0,0
15,Animal,5.1752848356695225,0.78,1,0
16,Animal,7.38677888444896,6.83,0,0
17,Bike,11.993322879959319,4.03,0,0
18,Pedestrian,6.490174119955283,4.55,0,0
19,Motorcycle,48.977330686387624,7.95,0,0
20,Animal,7.292945630828827,3.09,1,1
21,Animal,1.8134144954340115,1.68,1,0
22,Motorcycle,88.45824262887974,4.85,0,0
23,Truck,52.17555971449094,4.57,0,0
24,Bike,17.532941311037398,3.53,1,1
25,Bike,11.154126692477243,6.79,0,0
26,Truck,57.68303705219366,7.99,0,0
27,Car,67.9834472206393,4.05,0,0
28,Motorcycle,18.948386649889397,5.32,0,0
29,Car,62.4292719103402,2.7,1,1
30,Animal,1.9797954077179742,1.06,1,0
31,Pedestrian,3.7846900278856523,5.66,0,0
32,Animal,7.2456652883358466,6.94,0,0
33,Car,28.81943440546935,7.71,0,0
34,Bike,29.245477024412654,7.97,0,0
35,Truck,27.212480062892233,6.48,0,0
36,Car,29.290078152541923,2.75,1,1
37,Pedestrian,4.026368669593476,7.12,0,0
38,Pedestrian,2.0629391503104415,2.39,1,1
39,Motorcycle,66.14972570347108,1.06,1,0
40,Pedestrian,4.829314413462095,3.09,1,1
41,Pedestrian,2.16098495025793,7.27,0,0
42,Motorcycle,28.742467937433304,4.5,0,0
43,Bike,8.383858089074575,5.76,0,0
44,Truck,39.6448724005777,4.28,0,0
45,Pedestrian,7.36301242228328,7.92,0,0
46,Pedestrian,3.5807012361824917,2.24,1,1
47,Truck,30.037384638011527,1.35,1,0
48,Bike,27.524836725153136,1.59,1,0
49,Car,9.024459158029153,7.34,0,0
50,Animal,7.289145779498854,6.52,0,0
51,Pedestrian,6.363550122381424,5.24,0,0
